Disease,Doctor Name,Hospital Name,Address
Flu,Dr. Rajesh Sharma,Apollo Hospital,Chennai, Tamil Nadu
COVID-19,Dr. Ananya Mehta,AIIMS,New Delhi
Malaria,Dr. Suresh Patel,Fortis Hospital,Mumbai, Maharashtra
Cold,Dr. Priya Nair,Manipal Hospital,Bangalore, Karnataka
Typhoid,Dr. Vikram Rao,Narayana Health,Bangalore, Karnataka
Dengue,Dr. Anil Kapoor,Medanta Hospital,Gurugram, Haryana
Tuberculosis,Dr. Sunita Verma,Tata Memorial Hospital,Mumbai, Maharashtra
Pneumonia,Dr. Ravi Shankar,Kokilaben Dhirubhai Ambani Hospital,Mumbai, Maharashtra
Asthma,Dr. Neha Agarwal,Max Super Specialty Hospital,Delhi
Diabetes,Dr. Arvind Prasad,Amrita Institute of Medical Sciences,Kochi, Kerala
Heart Disease,Dr. Ramesh Kumar,Asian Heart Institute,Mumbai, Maharashtra
Hypertension,Dr. Kavita Iyer,Aster CMI Hospital,Bangalore, Karnataka
Cancer,Dr. Manish Verma,Tata Memorial Hospital,Mumbai, Maharashtra
Kidney Disease,Dr. Rohit Bansal,Christian Medical College,Vellore, Tamil Nadu
Liver Disease,Dr. Anupama Gupta,Medanta - The Medicity,Gurugram, Haryana
